image_name,target_angle,predicted_perm1,predicted_perm
tile_r1_c1.tiff,0,0.68612349,33.32819867
tile_r1_c1.tiff,10,0.604487181,30.55256414
tile_r1_c1.tiff,20,0.536551714,28.24275827
tile_r1_c1.tiff,30,0.506497741,27.22092319
tile_r1_c1.tiff,40,0.527438402,27.93290567
tile_r1_c1.tiff,50,0.573731005,29.50685418
tile_r1_c1.tiff,60,0.578871191,29.68162048
tile_r1_c1.tiff,70,0.563306451,29.15241933
tile_r1_c1.tiff,80,0.570906878,29.41083384
tile_r1_c1.tiff,90,0.604641259,30.5578028
tile_r1_c1.tiff,100,0.604426861,30.55051327
tile_r1_c1.tiff,110,0.586595237,29.94423807
tile_r1_c1.tiff,120,0.577076554,29.62060285
tile_r1_c1.tiff,130,0.536898196,28.25453866
tile_r1_c1.tiff,140,0.492535263,26.74619895
tile_r1_c1.tiff,150,0.495329112,26.8411898
tile_r1_c1.tiff,160,0.607126415,30.6422981
tile_r1_c1.tiff,170,0.719239175,34.45413196
tile_r1_c1.tiff,180,0.738781631,35.11857545
tile_r1_c2.tiff,0,0.605022669,30.57077074
tile_r1_c2.tiff,10,0.555317819,28.88080585
tile_r1_c2.tiff,20,0.488529116,26.60998994
tile_r1_c2.tiff,30,0.464165896,25.78164047
tile_r1_c2.tiff,40,0.49817124,26.93782216
tile_r1_c2.tiff,50,0.557719052,28.96244776
tile_r1_c2.tiff,60,0.579760075,29.71184254
tile_r1_c2.tiff,70,0.581922591,29.78536808
tile_r1_c2.tiff,80,0.600181997,30.40618789
tile_r1_c2.tiff,90,0.634910524,31.58695781
tile_r1_c2.tiff,100,0.634622395,31.57716143
tile_r1_c2.tiff,110,0.616498411,30.96094596
tile_r1_c2.tiff,120,0.606175721,30.6099745
tile_r1_c2.tiff,130,0.564812124,29.20361221
tile_r1_c2.tiff,140,0.515120447,27.51409519
tile_r1_c2.tiff,150,0.505501747,27.1870594
tile_r1_c2.tiff,160,0.592914343,30.15908766
tile_r1_c2.tiff,170,0.681237102,33.16206145
tile_r1_c2.tiff,180,0.688928068,33.4235543
tile_r1_c3.tiff,0,0.711978793,34.20727897
tile_r1_c3.tiff,10,0.634440362,31.57097232
tile_r1_c3.tiff,20,0.547968566,28.63093126
tile_r1_c3.tiff,30,0.510946214,27.37217128
tile_r1_c3.tiff,40,0.543035567,28.46320927
tile_r1_c3.tiff,50,0.609994233,30.73980391
tile_r1_c3.tiff,60,0.636712611,31.64822876
tile_r1_c3.tiff,70,0.649223149,32.07358706
tile_r1_c3.tiff,80,0.676746845,33.00939274
tile_r1_c3.tiff,90,0.715794206,34.33700299
tile_r1_c3.tiff,100,0.705787957,33.99679053
tile_r1_c3.tiff,110,0.665517688,32.62760139
tile_r1_c3.tiff,120,0.632189333,31.49443734
tile_r1_c3.tiff,130,0.566225469,29.25166595
tile_r1_c3.tiff,140,0.504835844,27.1644187
tile_r1_c3.tiff,150,0.506669104,27.22674954
tile_r1_c3.tiff,160,0.641031921,31.79508531
tile_r1_c3.tiff,170,0.778508663,36.46929455
tile_r1_c3.tiff,180,0.798826396,37.16009748
tile_r1_c4.tiff,0,0.634535372,31.57420266
tile_r1_c4.tiff,10,0.625880897,31.2799505
tile_r1_c4.tiff,20,0.592289209,30.13783312
tile_r1_c4.tiff,30,0.584584057,29.87585795
tile_r1_c4.tiff,40,0.613894403,30.8724097
tile_r1_c4.tiff,50,0.659613788,32.4268688
