index,Angle,Porosity,Surface_Area,Permeability_X,,,0.119982935,22.465265
1,0,54.09698486,5776,2.8312356,,,,
2,10,55.64727783,5726,2.615322,,,,
3,20,56.51855469,5624,2.6615942,,,,
4,30,56.63757324,5675,2.6067715,,,,
5,40,55.54046631,5594,2.2045727,,,,
6,50,54.8614502,5551,1.4262618,,,,
7,60,54.4128418,5537,1.2068093,,,,
8,70,54.4921875,5555,1.0806869,,,,
9,80,54.52423096,5768,0.96673024,,,,
10,90,54.09088135,5765,0.8915683,,,,
11,100,55.6427002,5716,0.7856342,,,,
12,110,56.55517578,5625,0.9887056,,,,
13,120,56.72302246,5683,0.8851737,,,,
14,130,55.56182861,5600,0.97725326,,,,
15,140,54.80499268,5551,1.5816002,,,,
16,150,54.45404053,5530,1.7614981,,,,
17,160,54.4708252,5569,1.8427029,,,,
18,170,54.51507568,5748,2.1284206,,,,
19,180,54.11987305,5768,3.0258062,,,,
20,0,67.73986816,4425,7.5414863,,,,
21,10,66.9128418,4382,7.2854013,,,,
22,20,67.99316406,4306,6.9789987,,,,
23,30,67.90618896,4311,6.554061,,,,
24,40,68.27392578,4274,5.748756,,,,
25,50,69.02618408,4257,6.2219505,,,,
26,60,68.39752197,4390,4.798402,,,,
27,70,68.35021973,4404,4.3367624,,,,
28,80,67.90008545,4377,4.954606,,,,
29,90,67.72613525,4415,4.696505,,,,
30,100,66.88232422,4389,4.179174,,,,
31,110,67.96722412,4304,5.1804247,,,,
32,120,67.89245605,4310,5.7322574,,,,
33,130,68.29833984,4262,6.4080944,,,,
34,140,68.94378662,4276,6.6653066,,,,
35,150,68.40209961,4389,8.098433,,,,
36,160,68.36547852,4392,8.839948,,,,
37,170,67.94128418,4391,8.410717,,,,
38,180,67.83294678,4388,7.292422,,,,
39,0,75.26397705,4422,20.98547,,,,
40,10,75.8026123,4261,20.089888,,,,
41,20,75.47454834,4145,18.802929,,,,
42,30,75.52947998,4098,16.533564,,,,
43,40,75.16021729,4001,6.1060166,,,,
44,50,74.61395264,4223,4.8146877,,,,
45,60,73.96697998,4519,4.437806,,,,
46,70,73.44512939,4664,4.503531,,,,
47,80,73.94256592,4658,4.893595,,,,
48,90,75.26397705,4421,5.582265,,,,
49,100,75.77056885,4263,11.0871935,,,,
50,110,75.45318604,4142,13.224084,,,,
51,120,75.54931641,4084,14.41548,,,,
52,130,75.19378662,4003,16.955393,,,,
53,140,74.54528809,4216,18.270264,,,,
54,150,73.9074707,4494,18.6954,,,,
55,160,73.42376709,4665,19.342403,,,,
56,170,74.01580811,4656,19.9004,,,,
57,180,75.20141602,4424,20.949425,,,,
58,0,66.83807373,6631,1.7133932,,,,
59,10,67.55523682,6796,2.1953106,,,,
60,20,67.48199463,7189,2.8876448,,,,
61,30,67.13562012,7491,3.137719,,,,
62,40,67.16766357,7651,3.706926,,,,
63,50,67.83599854,7606,3.6760077,,,,
64,60,68.15185547,7138,2.96625,,,,
65,70,68.68438721,6951,2.7126536,,,,
66,80,67.40722656,6763,1.597681,,,,
67,90,66.80450439,6638,1.184841,,,,
68,100,67.59033203,6805,0.96482474,,,,
69,110,67.47436523,7197,0.77707773,,,,
70,120,67.10510254,7493,0.4671225,,,,
71,130,67.13104248,7653,0.5055026,,,,
72,140,67.82531738,7604,0.5479031,,,,
73,150,68.16253662,7137,0.55943817,,,,
