angle,Porosity,Surface_Area,Permeability_X,augmented,aug_perm,image_name
0,54.09698486,5776,2.8312356,2.8312356,0.121334457,1
10,55.64727783,5726,2.615322,2.615322,0.111671853,1
20,56.51855469,5624,2.6615942,2.6615942,0.113742635,1
30,56.63757324,5675,2.6067715,2.6067715,0.1112892,1
40,55.54046631,5594,2.2045727,2.2045727,0.093289928,1
50,54.8614502,5551,1.4262618,1.4262618,0.058458822,1
60,54.4128418,5537,1.2068093,1.2068093,0.048637845,1
70,54.4921875,5555,1.0806869,1.0806869,0.042993593,1
80,54.52423096,5768,0.96673024,0.96673024,0.037893785,1
90,54.09088135,5765,0.8915683,0.8915683,0.034530124,1
100,55.6427002,5716,0.7856342,0.7856342,0.029789343,1
110,56.55517578,5625,0.9887056,0.9887056,0.03887723,1
120,56.72302246,5683,0.8851737,0.8851737,0.034243952,1
130,55.56182861,5600,0.97725326,0.97725326,0.038364713,1
140,54.80499268,5551,1.5816002,1.5816002,0.065410553,1
150,54.45404053,5530,1.7614981,1.7614981,0.073461376,1
160,54.4708252,5569,1.8427029,1.8427029,0.077095467,1
170,54.51507568,5748,2.1284206,2.1284206,0.089881956,1
180,54.11987305,5768,3.0258062,3.0258062,0.130041915,1
0,54.09698486,5776,2.8312356,2.615322,0.111671853,2
10,55.64727783,5726,2.615322,2.6615942,0.113742635,2
20,56.51855469,5624,2.6615942,2.6067715,0.1112892,2
30,56.63757324,5675,2.6067715,2.2045727,0.093289928,2
40,55.54046631,5594,2.2045727,1.4262618,0.058458822,2
50,54.8614502,5551,1.4262618,1.2068093,0.048637845,2
60,54.4128418,5537,1.2068093,1.0806869,0.042993593,2
70,54.4921875,5555,1.0806869,0.96673024,0.037893785,2
80,54.52423096,5768,0.96673024,0.8915683,0.034530124,2
90,54.09088135,5765,0.8915683,0.7856342,0.029789343,2
100,55.6427002,5716,0.7856342,0.9887056,0.03887723,2
110,56.55517578,5625,0.9887056,0.8851737,0.034243952,2
120,56.72302246,5683,0.8851737,0.97725326,0.038364713,2
130,55.56182861,5600,0.97725326,1.5816002,0.065410553,2
140,54.80499268,5551,1.5816002,1.7614981,0.073461376,2
150,54.45404053,5530,1.7614981,1.8427029,0.077095467,2
160,54.4708252,5569,1.8427029,2.1284206,0.089881956,2
170,54.51507568,5748,2.1284206,3.0258062,0.130041915,2
180,54.11987305,5768,3.0258062,2.8312356,0.121334457,2
0,54.09698486,5776,2.8312356,2.6615942,0.113742635,3
10,55.64727783,5726,2.615322,2.6067715,0.1112892,3
20,56.51855469,5624,2.6615942,2.2045727,0.093289928,3
30,56.63757324,5675,2.6067715,1.4262618,0.058458822,3
40,55.54046631,5594,2.2045727,1.2068093,0.048637845,3
50,54.8614502,5551,1.4262618,1.0806869,0.042993593,3
60,54.4128418,5537,1.2068093,0.96673024,0.037893785,3
70,54.4921875,5555,1.0806869,0.8915683,0.034530124,3
80,54.52423096,5768,0.96673024,0.7856342,0.029789343,3
90,54.09088135,5765,0.8915683,0.9887056,0.03887723,3
100,55.6427002,5716,0.7856342,0.8851737,0.034243952,3
110,56.55517578,5625,0.9887056,0.97725326,0.038364713,3
120,56.72302246,5683,0.8851737,1.5816002,0.065410553,3
130,55.56182861,5600,0.97725326,1.7614981,0.073461376,3
140,54.80499268,5551,1.5816002,1.8427029,0.077095467,3
150,54.45404053,5530,1.7614981,2.1284206,0.089881956,3
160,54.4708252,5569,1.8427029,3.0258062,0.130041915,3
170,54.51507568,5748,2.1284206,2.8312356,0.121334457,3
180,54.11987305,5768,3.0258062,2.615322,0.111671853,3
0,54.09698486,5776,2.8312356,2.6067715,0.1112892,4
10,55.64727783,5726,2.615322,2.2045727,0.093289928,4
20,56.51855469,5624,2.6615942,1.4262618,0.058458822,4
30,56.63757324,5675,2.6067715,1.2068093,0.048637845,4
40,55.54046631,5594,2.2045727,1.0806869,0.042993593,4
50,54.8614502,5551,1.4262618,0.96673024,0.037893785,4
60,54.4128418,5537,1.2068093,0.8915683,0.034530124,4
70,54.4921875,5555,1.0806869,0.7856342,0.029789343,4
80,54.52423096,5768,0.96673024,0.9887056,0.03887723,4
90,54.09088135,5765,0.8915683,0.8851737,0.034243952,4
100,55.6427002,5716,0.7856342,0.97725326,0.038364713,4
110,56.55517578,5625,0.9887056,1.5816002,0.065410553,4
120,56.72302246,5683,0.8851737,1.7614981,0.073461376,4
130,55.56182861,5600,0.97725326,1.8427029,0.077095467,4
140,54.80499268,5551,1.5816002,2.1284206,0.089881956,4
150,54.45404053,5530,1.7614981,3.0258062,0.130041915,4
160,54.4708252,5569,1.8427029,2.8312356,0.121334457,4
170,54.51507568,5748,2.1284206,2.615322,0.111671853,4
180,54.11987305,5768,3.0258062,2.6615942,0.113742635,4
0,54.09698486,5776,2.8312356,2.2045727,0.093289928,5
10,55.64727783,5726,2.615322,1.4262618,0.058458822,5
20,56.51855469,5624,2.6615942,1.2068093,0.048637845,5
30,56.63757324,5675,2.6067715,1.0806869,0.042993593,5
40,55.54046631,5594,2.2045727,0.96673024,0.037893785,5
50,54.8614502,5551,1.4262618,0.8915683,0.034530124,5
60,54.4128418,5537,1.2068093,0.7856342,0.029789343,5
70,54.4921875,5555,1.0806869,0.9887056,0.03887723,5
80,54.52423096,5768,0.96673024,0.8851737,0.034243952,5
90,54.09088135,5765,0.8915683,0.97725326,0.038364713,5
100,55.6427002,5716,0.7856342,1.5816002,0.065410553,5
110,56.55517578,5625,0.9887056,1.7614981,0.073461376,5
120,56.72302246,5683,0.8851737,1.8427029,0.077095467,5
130,55.56182861,5600,0.97725326,2.1284206,0.089881956,5
140,54.80499268,5551,1.5816002,3.0258062,0.130041915,5
150,54.45404053,5530,1.7614981,2.8312356,0.121334457,5
160,54.4708252,5569,1.8427029,2.615322,0.111671853,5
170,54.51507568,5748,2.1284206,2.6615942,0.113742635,5
180,54.11987305,5768,3.0258062,2.6067715,0.1112892,5
0,54.09698486,5776,2.8312356,1.4262618,0.058458822,6
10,55.64727783,5726,2.615322,1.2068093,0.048637845,6
20,56.51855469,5624,2.6615942,1.0806869,0.042993593,6
30,56.63757324,5675,2.6067715,0.96673024,0.037893785,6
40,55.54046631,5594,2.2045727,0.8915683,0.034530124,6
50,54.8614502,5551,1.4262618,0.7856342,0.029789343,6
60,54.4128418,5537,1.2068093,0.9887056,0.03887723,6
70,54.4921875,5555,1.0806869,0.8851737,0.034243952,6
80,54.52423096,5768,0.96673024,0.97725326,0.038364713,6
90,54.09088135,5765,0.8915683,1.5816002,0.065410553,6
100,55.6427002,5716,0.7856342,1.7614981,0.073461376,6
110,56.55517578,5625,0.9887056,1.8427029,0.077095467,6
120,56.72302246,5683,0.8851737,2.1284206,0.089881956,6
130,55.56182861,5600,0.97725326,3.0258062,0.130041915,6
140,54.80499268,5551,1.5816002,2.8312356,0.121334457,6
150,54.45404053,5530,1.7614981,2.615322,0.111671853,6
160,54.4708252,5569,1.8427029,2.6615942,0.113742635,6
170,54.51507568,5748,2.1284206,2.6067715,0.1112892,6
180,54.11987305,5768,3.0258062,2.2045727,0.093289928,6
0,54.09698486,5776,2.8312356,1.2068093,0.048637845,7
10,55.64727783,5726,2.615322,1.0806869,0.042993593,7
20,56.51855469,5624,2.6615942,0.96673024,0.037893785,7
30,56.63757324,5675,2.6067715,0.8915683,0.034530124,7
40,55.54046631,5594,2.2045727,0.7856342,0.029789343,7
50,54.8614502,5551,1.4262618,0.9887056,0.03887723,7
60,54.4128418,5537,1.2068093,0.8851737,0.034243952,7
70,54.4921875,5555,1.0806869,0.97725326,0.038364713,7
80,54.52423096,5768,0.96673024,1.5816002,0.065410553,7
90,54.09088135,5765,0.8915683,1.7614981,0.073461376,7
100,55.6427002,5716,0.7856342,1.8427029,0.077095467,7
110,56.55517578,5625,0.9887056,2.1284206,0.089881956,7
120,56.72302246,5683,0.8851737,3.0258062,0.130041915,7
130,55.56182861,5600,0.97725326,2.8312356,0.121334457,7
140,54.80499268,5551,1.5816002,2.615322,0.111671853,7
150,54.45404053,5530,1.7614981,2.6615942,0.113742635,7
160,54.4708252,5569,1.8427029,2.6067715,0.1112892,7
170,54.51507568,5748,2.1284206,2.2045727,0.093289928,7
180,54.11987305,5768,3.0258062,1.4262618,0.058458822,7
0,54.09698486,5776,2.8312356,1.0806869,0.042993593,8
10,55.64727783,5726,2.615322,0.96673024,0.037893785,8
20,56.51855469,5624,2.6615942,0.8915683,0.034530124,8
30,56.63757324,5675,2.6067715,0.7856342,0.029789343,8
40,55.54046631,5594,2.2045727,0.9887056,0.03887723,8
50,54.8614502,5551,1.4262618,0.8851737,0.034243952,8
60,54.4128418,5537,1.2068093,0.97725326,0.038364713,8
70,54.4921875,5555,1.0806869,1.5816002,0.065410553,8
80,54.52423096,5768,0.96673024,1.7614981,0.073461376,8
90,54.09088135,5765,0.8915683,1.8427029,0.077095467,8
100,55.6427002,5716,0.7856342,2.1284206,0.089881956,8
110,56.55517578,5625,0.9887056,3.0258062,0.130041915,8
120,56.72302246,5683,0.8851737,2.8312356,0.121334457,8
130,55.56182861,5600,0.97725326,2.615322,0.111671853,8
140,54.80499268,5551,1.5816002,2.6615942,0.113742635,8
150,54.45404053,5530,1.7614981,2.6067715,0.1112892,8
160,54.4708252,5569,1.8427029,2.2045727,0.093289928,8
170,54.51507568,5748,2.1284206,1.4262618,0.058458822,8
180,54.11987305,5768,3.0258062,1.2068093,0.048637845,8
0,54.09698486,5776,2.8312356,0.96673024,0.037893785,9
10,55.64727783,5726,2.615322,0.8915683,0.034530124,9
